cell_id,l0,l1,d0,d1,depth,near_boundary,trials,exact_recovery_frequency,mean_seed_fraction
237,1.4716549430918953,1.5412412073189214,0.0,0.020833333333333332,4,0,10,0.0,0.033038459582747925
238,1.4716549430918953,1.5064480752054084,0.020833333333333332,0.03125,5,1,20,1.0,0.03327865699100786
239,1.4716549430918953,1.5064480752054084,0.03125,0.041666666666666664,5,0,10,1.0,0.0330890876931091
240,1.5064480752054084,1.5412412073189214,0.020833333333333332,0.03125,5,1,20,1.0,0.03350821103626088
241,1.5064480752054084,1.5412412073189214,0.03125,0.041666666666666664,5,0,10,1.0,0.033338168395828524
242,1.5412412073189214,1.6108274715459476,0.0,0.020833333333333332,4,0,10,0.0,0.03311260095935294
243,1.5412412073189214,1.5760343394324345,0.020833333333333332,0.03125,5,1,20,1.0,0.033166683659070516
244,1.5412412073189214,1.5760343394324345,0.03125,0.041666666666666664,5,0,10,1.0,0.03244027261757103
245,1.5760343394324345,1.6108274715459476,0.020833333333333332,0.03125,5,1,20,0.9,0.03368652586927902
246,1.5760343394324345,1.6108274715459476,0.03125,0.041666666666666664,5,0,10,1.0,0.032669500639403735
247,1.4716549430918953,1.6108274715459476,0.041666666666666664,0.08333333333333333,3,0,10,1.0,0.032947654267449285
248,1.6108274715459476,1.6804137357729738,0.0,0.020833333333333332,4,0,10,0.0,0.03309735019723213
249,1.6108274715459476,1.6456206036594607,0.020833333333333332,0.03125,5,1,20,1.0,0.032785557198988215
250,1.6108274715459476,1.6456206036594607,0.03125,0.041666666666666664,5,0,10,1.0,0.03256693600074517
251,1.6456206036594607,1.6804137357729738,0.020833333333333332,0.03125,5,1,20,1.0,0.032928396597303414
252,1.6456206036594607,1.6804137357729738,0.03125,0.041666666666666664,5,0,10,1.0,0.03325479242579335
253,1.6804137357729738,1.715206867886487,0.0,0.010416666666666666,5,0,10,0.0,0.03299775214018265
254,1.6804137357729738,1.715206867886487,0.010416666666666666,0.020833333333333332,5,1,20,0.4,0.0329103579779455
255,1.715206867886487,1.75,0.0,0.010416666666666666,5,0,10,0.0,0.03316077267495822
